N	nrep	nsweeps	time_ms	ms_per_sweep	sweeps_per_sec	spin_updates_per_ns	mem_MB	acceptance_rate	total_throughput
8	4	500	21.7201	0.043440	23020.16	0.002578	0.00	0.572083	92080.62
10	4	500	37.9330	0.075866	13181.13	0.002373	0.01	0.408250	52724.51
12	4	500	54.6632	0.109326	9146.93	0.002415	0.01	0.338611	36587.71
14	4	500	95.7338	0.191468	5222.82	0.001901	0.02	0.219464	20891.27
16	4	500	155.4043	0.310809	3217.41	0.001544	0.03	0.459531	12869.66
18	4	500	247.0441	0.494088	2023.93	0.001239	0.05	0.409861	8095.72
22	4	500	597.5020	1.195004	836.82	0.000773	0.12	0.246098	3347.27
26	4	500	1203.1815	2.406363	415.56	0.000540	0.24	0.230929	1662.26
32	4	500	2867.6638	5.735328	174.36	0.000346	0.57	0.419193	697.43
40	4	500	7275.4956	14.550991	68.72	0.000214	1.42	0.297937	274.90
48	4	500	15482.3047	30.964609	32.29	0.000146	3.01	0.211389	129.18
64	4	500	55890.0977	111.780197	8.95	0.000072	9.76	0.402539	35.78
